연도,순위,이름,ERA,경기수,승리,패배,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타,3루타,희생타,희생플라이,고의사구,폭투,보크
2017,7,이동걸,4.17,24,0,0,1,2,-,36 2/3,36,5,5,3,22,18,17,1.12,0,0,0,0,146,529,0.261,8,1,0,0,0,1,0
2017,8,비야누에바,4.18,20,5,7,0,0,0.417,112,108,12,23,5,68,58,52,1.17,0,0,13,0,461,1732,0.256,23,1,4,7,0,5,0
2017,9,송신영,4.26,5,0,0,0,0,-,6 1/3,6,0,0,2,6,3,3,0.95,0,0,0,0,26,107,0.250,1,0,0,0,0,0,0
2017,10,서균,4.40,14,0,0,0,0,-,14 1/3,17,2,3,3,10,7,7,1.40,0,0,0,0,64,250,0.298,4,0,1,0,0,1,0
2017,11,김재영,4.54,20,5,7,0,0,0.417,85 1/3,101,9,19,12,51,51,43,1.41,0,0,7,1,370,1449,0.310,16,0,6,7,0,3,0
2017,12,심수창,4.74,48,3,1,2,2,0.750,57,71,8,22,2,54,32,30,1.63,0,0,0,2,260,999,0.307,13,3,4,1,1,4,0
2017,13,배영수,5.06,25,7,8,0,0,0.467,128,155,17,29,13,86,82,72,1.44,1,0,10,0,575,2149,0.298,29,2,9,3,0,2,2
2017,14,윤규진,5.22,36,8,7,0,2,0.533,119,138,19,44,4,93,71,69,1.53,0,0,6,0,526,2018,0.297,20,2,3,11,0,5,0
2017,15,안영명,5.75,25,1,8,0,0,0.111,87 2/3,123,11,28,5,54,62,56,1.72,0,0,4,1,410,1560,0.336,30,2,6,5,2,5,1
2017,16,강승현,5.87,31,0,1,0,1,0.000,38 1/3,42,4,15,0,40,26,25,1.49,0,0,0,0,167,633,0.282,11,1,1,2,0,4,0
2017,17,권혁,6.32,37,1,3,0,11,0.250,31 1/3,39,6,9,5,17,23,22,1.53,0,0,0,2,147,562,0.305,8,0,4,1,0,3,0
2017,18,송은범,6.51,13,0,4,1,0,0.000,37 1/3,45,4,23,3,15,30,27,1.82,0,0,2,1,177,643,0.304,4,0,2,1,1,1,0
2017,19,송창식,6.63,63,5,6,0,15,0.455,73 1/3,77,13,33,5,64,56,54,1.50,0,0,0,6,331,1321,0.268,20,2,5,1,4,2,0
2017,20,이태양,7.17,16,3,6,0,0,0.333,59,79,12,26,2,29,49,47,1.78,0,0,2,0,275,1118,0.326,16,1,3,2,1,2,0
2017,21,장민재,7.76,33,2,5,0,0,0.286,62 2/3,94,11,23,2,30,60,54,1.87,0,0,0,2,303,1175,0.349,24,1,3,6,1,6,0
2017,22,김범수,8.71,15,0,4,0,0,0.000,31,43,7,24,3,16,30,30,2.16,0,0,0,0,158,635,0.336,7,0,2,1,1,9,0
2017,23,김진영,10.13,3,0,0,0,0,-,2 2/3,5,0,2,0,4,3,3,2.63,0,0,0,0,15,55,0.385,3,0,0,0,0,0,0
2017,24,이충호,13.50,21,1,1,0,1,0.500,11 1/3,21,3,12,3,8,18,17,2.91,0,0,0,0,67,285,0.412,3,0,0,1,0,2,0
2017,25,김민우,17.18,4,0,0,0,0,-,7 1/3,20,1,6,3,5,15,14,3.55,0,0,0,0,49,174,0.541,1,0,3,0,0,1,0
2018,1,김종수,1.80,3,0,0,0,0,-,5,3,1,0,0,1,1,1,0.60,0,0,0,0,18,72,0.176,0,0,0,1,0,0,0
2018,2,박상원,2.10,69,4,2,0,9,0.667,60,59,3,21,4,62,17,14,1.33,0,0,0,0,256,1033,0.260,13,0,1,3,1,3,0
2018,3,송은범,2.50,68,7,4,1,10,0.636,79 1/3,77,2,33,5,61,29,22,1.39,0,0,0,3,341,1289,0.257,9,1,1,2,2,8,0
2018,4,이태양,2.84,63,4,2,0,12,0.667,79 1/3,66,10,23,4,85,30,25,1.12,0,0,0,1,325,1306,0.224,11,1,2,2,2,4,0
2018,5,정우람,3.40,55,5,3,35,0,0.625,53,49,6,12,2,56,22,20,1.15,0,0,0,4,220,888,0.245,9,0,1,5,1,1,0
2018,6,김성훈,3.58,10,0,2,0,0,0.000,27 2/3,25,2,11,3,28,12,11,1.30,0,0,1,0,118,481,0.245,5,0,1,1,0,3,0
2018,7,임준섭,4.32,10,1,0,0,0,1.000,8 1/3,8,1,6,1,6,4,4,1.68,0,0,0,0,34,144,0.308,2,0,0,1,0,0,0
2018,8,헤일,4.34,12,3,4,0,0,0.429,66 1/3,68,8,17,4,55,35,32,1.28,0,0,6,0,277,1125,0.269,10,0,2,1,0,3,0
2018,9,장민재,4.68,34,6,2,0,1,0.750,59 2/3,62,7,23,1,42,33,31,1.42,0,0,0,0,266,969,0.261,14,2,2,2,0,1,0
2018,10,샘슨,4.68,30,13,8,0,0,0.619,161 2/3,144,17,79,5,195,91,84,1.38,0,0,15,0,703,3047,0.234,26,1,1,3,0,18,2
2018,11,권혁,4.91,16,1,1,0,3,0.500,11,9,2,4,0,11,6,6,1.18,0,0,0,0,44,173,0.225,1,0,0,0,0,1,0
2018,12,송창식,4.97,12,1,0,0,1,1.000,12 2/3,15,2,4,1,8,7,7,1.50,0,0,0,0,58,230,0.300,4,0,0,3,0,3,0
2018,13,휠러,5.13,19,3,9,0,0,0.250,101 2/3,128,12,34,10,94,62,58,1.59,0,0,4,0,459,1896,0.312,16,0,3,2,1,2,1
2018,14,강승현,5.40,2,0,0,0,0,-,1 2/3,3,1,0,0,2,1,1,1.80,0,0,0,0,8,27,0.375,0,0,0,0,0,2,0
2018,15,김재영,5.66,29,6,4,0,1,0.600,111 1/3,136,15,37,12,56,74,70,1.55,0,0,6,0,503,1853,0.304,32,1,3,4,0,4,0
2018,16,안영명,5.73,53,8,2,0,8,0.800,66,83,12,15,4,48,44,42,1.48,0,0,0,1,291,1087,0.311,10,0,3,2,1,4,1
2018,17,김범수,5.77,55,4,4,0,7,0.500,48 1/3,52,7,29,1,54,33,31,1.68,0,0,1,0,223,930,0.277,8,0,2,3,0,8,0
2018,18,서균,5.79,56,1,1,1,10,0.500,37 1/3,39,7,16,7,22,26,24,1.47,0,0,0,3,168,632,0.271,3,0,1,0,0,3,0
2018,19,윤규진,5.89,18,2,6,0,0,0.250,84,99,14,30,6,81,63,55,1.54,0,0,4,0,381,1550,0.292,22,2,2,4,0,3,0
2018,20,김진욱,6.35,3,0,0,0,0,-,5 2/3,6,0,3,3,4,4,4,1.59,0,0,0,0,30,107,0.250,0,0,0,0,0,0,0
2018,21,김민우,6.52,23,5,9,0,0,0.357,99 1/3,133,19,41,8,73,79,72,1.75,0,0,6,0,468,1772,0.321,28,1,1,4,0,5,1
2018,22,배영수,6.63,11,2,3,0,0,0.400,55 2/3,69,6,15,6,47,42,41,1.51,0,0,2,0,251,951,0.303,16,4,0,2,1,0,1
2018,23,김진영,7.94,4,0,0,0,0,-,11 1/3,13,1,4,0,9,10,10,1.50,0,0,0,0,49,178,0.295,0,0,1,0,0,0,0
2018,24,박성웅,8.68,22,1,1,0,0,0.500,18 2/3,26,4,10,2,18,18,18,1.93,0,0,0,0,94,394,0.321,2,0,1,0,0,0,1
2018,25,심수창,15.43,3,0,0,0,0,-,2 1/3,7,2,0,0,2,4,4,3.00,0,0,0,1,13,51,0.583,0,0,0,1,0,0,0
2018,26,김경태,16.88,3,0,0,0,0,-,2 2/3,4,2,5,0,2,5,5,3.38,0,0,0,0,17,78,0.364,0,0,1,0,0,2,0
2018,27,이동걸,18.00,1,0,0,0,0,-,2,5,1,0,0,2,4,4,2.50,0,0,0,0,11,37,0.455,2,0,0,0,0,0,0
2019,1,김진욱,0.00,1,0,0,0,0,-,1,0,0,1,1,0,0,0,1.00,0,0,0,0,4,20,0.000,0,0,0,0,0,0,0
2019,2,정우람,1.54,57,4,3,26,0,0.571,58 1/3,57,4,16,1,48,11,10,1.25,0,0,0,4,237,940,0.261,8,0,1,1,4,2,1
2019,3,채드벨,3.50,29,11,10,0,0,0.524,177 1/3,169,14,63,10,134,73,69,1.31,0,0,15,0,749,2843,0.256,33,2,11,4,0,8,1
2019,4,서폴드,3.51,31,12,11,0,0,0.522,192 1/3,191,8,54,8,135,84,75,1.27,0,0,20,0,810,3142,0.259,28,4,5,5,1,8,0
2019,5,안영명,3.92,67,4,7,0,13,0.364,62,82,5,13,3,48,27,27,1.53,0,0,0,3,273,1053,0.325,14,1,4,1,0,2,1
2019,6,박상원,3.97,61,1,4,0,12,0.200,59,52,5,28,5,39,29,26,1.36,0,0,0,1,256,999,0.242,6,0,2,5,1,1,0
2019,7,김진영,4.05,6,0,4,0,0,0.000,26 2/3,27,1,16,1,14,12,12,1.61,0,0,0,0,117,441,0.278,6,0,1,2,0,0,0
2019,8,김경태,4.09,17,0,0,0,0,-,11,14,0,8,0,10,5,5,2.00,0,0,0,0,54,207,0.318,4,0,1,1,0,2,0
2019,9,임준섭,4.20,34,1,3,0,1,0.250,49 1/3,56,1,28,1,26,30,23,1.70,0,0,1,0,230,883,0.284,14,1,2,2,0,6,0
2019,10,김도현,4.26,11,4,3,0,0,0.571,38,42,2,21,2,15,19,18,1.66,0,0,0,0,171,706,0.286,9,0,0,1,0,1,0
2019,11,김성훈,4.84,15,0,1,0,0,0.000,22 1/3,24,3,15,1,26,12,12,1.75,0,0,0,0,104,419,0.276,5,0,0,1,0,6,0
2019,12,박윤철,5.10,15,0,1,0,0,0.000,30,22,4,30,3,21,19,17,1.73,0,0,0,0,145,606,0.198,3,0,0,1,0,2,0
2019,13,장민재,5.43,26,6,8,0,0,0.429,119 1/3,150,14,27,6,103,76,72,1.48,1,0,7,0,526,1913,0.307,25,1,0,4,0,3,0
2019,14,김범수,5.68,45,5,9,1,1,0.357,103,115,15,61,10,85,70,65,1.71,0,0,2,2,485,1976,0.282,19,3,2,4,1,9,0
